"gene_short_name","pval","qval"
"CCNH",9.10690674699593e-86,1.95957073038594e-85
"BTG2",1.57995016694428e-85,3.39120817470671e-85
"MTRNR2L12",1.49469469463193e-84,3.20027453182331e-84
"C1QTNF3",7.73319010041616e-84,1.65165665107654e-83
"OMD",1.75366743800381e-83,3.73626190609187e-83
"IGFBP2",2.93499174988391e-83,6.2377588787459e-83
"NDEL1",4.22065411262412e-83,8.94820050838202e-83
"NSMCE1",6.82335376670566e-83,1.44308093110034e-82
"SFTA1P",1.7064085541605e-82,3.60010585207033e-82
"CST7",4.60296416253212e-82,9.68750365107126e-82
"TMEM100",4.24659238827273e-81,8.91578256275706e-81
"MAOB",4.57218017985706e-81,9.57611587306625e-81
"COL16A1",2.52315259714644e-80,5.27180433944848e-80
"CTSS",7.50507885886983e-80,1.56431161757166e-79
"SULF1",1.77821069268665e-79,3.69748136820662e-79
"F3",3.23359220604606e-79,6.70757136266149e-79
"CPEB4",6.28985065208349e-79,1.30160785025173e-78
"HLA-DRB1",7.60072539553329e-79,1.56912350050986e-78
"KCNQ1OT1",8.34120512184311e-79,1.71789105485578e-78
"IER2",1.08051185382878e-78,2.22005404646531e-78
"JUNB",5.07213485205032e-78,1.03966745190131e-77
"ZFP36",2.24724261846618e-77,4.59542521270271e-77
"CCL4L2",2.97697893448512e-76,6.07331787341893e-76
"PIK3R1",2.98608468269212e-76,6.07756058947927e-76
"DNAJB4",4.25608843645298e-76,8.64205750594326e-76
"DAPL1",1.35512256165442e-75,2.74515460381984e-75
"USP18",3.29417919547603e-75,6.65762851422142e-75
"MTRNR2L8",4.21977386260178e-75,8.50840184417376e-75
"TDO2",2.42659563734541e-74,4.88140750303204e-74
"WNT2",2.8265036257481e-74,5.67268129065454e-74
"CD68",5.55018518466519e-74,1.11132180202208e-73
"AOC3",8.06026847340947e-74,1.61019220080813e-73
"CDC42SE1",7.02376538902431e-73,1.39989794043918e-72
"ZNF503",1.30807551462618e-72,2.60111567850952e-72
"EGFL6",7.78062312872221e-72,1.54363279962035e-71
"AIF1",1.91264252296901e-71,3.78589423882882e-71
"FBXO34",2.28960669881884e-71,4.5217118595395e-71
"PAG1",3.00563688873003e-71,5.9222685848553e-71
"GCHFR",9.01444940146017e-71,1.77215880278706e-70
"EVI2A",1.9941764639258e-70,3.91147991223541e-70
"CTD-3252C9.4",4.47939279115457e-70,8.76623249852647e-70
"HLA-DQB1",9.4394383363927e-70,1.84314089412634e-69
"HLA-B",6.61034331169858e-69,1.28782589293227e-68
"OMG",1.45308324454965e-68,2.82453259895607e-68
"HES1",4.77358263549494e-68,9.25818156884109e-68
"NFKB1",8.21110007447265e-68,1.58894889584314e-67
"COX7A1",1.55164689377485e-67,2.99592536409653e-67
"KRT19",3.17552584153742e-67,6.11766114238279e-67
"COTL1",3.20248857504679e-67,6.15589470536772e-67
"MMP19",3.32873730961597e-67,6.38438530558274e-67
"CA3",7.62909984619945e-67,1.4599936652572e-66
"NR4A2",1.1670108655067e-66,2.2283982310448e-66
"SLC2A3",1.17355092620276e-66,2.23595055322772e-66
"AKAP13",3.86466016417389e-66,7.34710119123168e-66
"RHOG",7.898514223171e-66,1.49829271996555e-65
"GNPTAB",2.08706550039212e-65,3.95035373706604e-65
"EGR2",4.82580842492382e-65,9.11424516934302e-65
"IRF1",5.2791386070441e-65,9.94870347514847e-65
"ADM",7.78040299855626e-65,1.46305404211982e-64
"GPBP1",1.87814767265401e-64,3.52407318187791e-64
"SAMHD1",6.36242760015083e-64,1.19123373898928e-63
"SNX10",2.82303185502562e-63,5.27413078746687e-63
"ERRFI1",4.81435662182495e-63,8.97503982301419e-63
"ANGPTL4",5.5613594861219e-63,1.03453246354741e-62
"FSTL3",2.04459317991219e-62,3.79522124597435e-62
"C4orf48",2.74073204867628e-62,5.0765165355567e-62
"S100A4",5.03811050775012e-62,9.31189228462361e-62
"TUBA1B",9.68760391357202e-62,1.78673291796158e-61
"TWISTNB",1.60399408432213e-61,2.95203166582689e-61
"TRIB1",2.87010804725915e-61,5.27100522479652e-61
"HLA-DQA1",1.50565686823715e-60,2.75930760810411e-60
"LACTB",1.80695305016633e-60,3.30447016573758e-60
"RASD1",1.2116805306273e-59,2.21118915399286e-59
"ALG13",4.16802684693099e-59,7.59019625809539e-59
"LEPROTL1",6.94271151983794e-59,1.26164820686131e-58
"FOSB",8.52202890839759e-59,1.54539937227755e-58
"FST",2.08450177196619e-58,3.77216324843255e-58
"SCGB3A2",2.8904804642715e-58,5.21976117243183e-58
"TUBA1A",2.98275995049681e-58,5.37518199412445e-58
"HP",2.36492650303721e-57,4.25293435577378e-57
"CCL13",3.62522931472121e-57,6.50585758762209e-57
"NR4A3",1.46795876305109e-56,2.62895306426334e-56
"RALB",9.62767964022895e-56,1.72064935718968e-55
"DUSP6",1.0056987997096e-55,1.7936689932965e-55
"DUSP1",5.18185984597546e-55,9.22285754479171e-55
"ACER3",3.37931276969361e-54,6.00227011454819e-54
"HSPA8",5.21355169844099e-54,9.24123405563823e-54
"ATP1B1",1.39712420159231e-50,2.47139557132382e-50
"GABPB1",2.15354425457561e-50,3.80166485756716e-50
"HLA-DPB1",2.99071019309966e-49,5.26876642979879e-49
"HLA-DRB5",5.45392974426771e-49,9.58871794469832e-49
"H1F0",8.99019659575342e-49,1.57738743515755e-48
"HLA-DPA1",2.11716823819666e-48,3.70718729967634e-48
"CXCL2",6.45380431205063e-48,1.12778600604521e-47
"HLA-DMA",1.11289167876496e-47,1.94082923816872e-47
"PTGS2",4.63170611762946e-46,8.06121889688025e-46
"SLC25A37",5.29070570567063e-46,9.18967958916686e-46
"CNRIP1",6.70207876609061e-46,1.16178319291951e-45
"TGFBI",8.5299537332895e-46,1.47568199585908e-45
"HSP90AA1",9.84743971647848e-46,1.70020665763551e-45
"PLEC",1.50412836432343e-45,2.59177497039794e-45
"EMP3",2.39431198765847e-45,4.11745500859757e-45
"GYPC",7.76684882354428e-45,1.33300083975512e-44
"PTPRK",4.90827737050106e-44,8.40724737719489e-44
"CD302",4.7859574384947e-43,8.18152803220931e-43
"CYB5A",9.27262533751539e-43,1.58201595995085e-42
"CITED2",1.44200463695281e-42,2.45538191134682e-42
"SOX9",4.51225847535842e-42,7.66817992374271e-42
"SERPINA1",8.63767157689704e-42,1.46501684588548e-41
"FAM229B",4.15554266980035e-41,7.03433348214737e-41
"HOPX",5.05343646085894e-41,8.53754402078708e-41
"NEAT1",5.65684854312698e-41,9.53835085731936e-41
"C12orf75",6.7972417462077e-41,1.14389379581122e-40
"GBP1",2.74678249272771e-40,4.61352787613488e-40
"DNAJB9",4.5170813896454e-40,7.57223915124665e-40
"MALAT1",1.62451601627531e-39,2.71800068487068e-39
"RNASE1",2.90889416585595e-39,4.85751631943127e-39
"GPM6B",1.18350402445226e-38,1.97250670742044e-38
"LAPTM4A",1.69908138112431e-38,2.8263565282164e-38
"PLAT",6.09905390624194e-38,1.01260683856032e-37
"CH25H",1.21473301793007e-37,2.01291965614849e-37
"GSTA1",1.26428933518076e-37,2.09103303046148e-37
"DTNBP1",1.31006886932843e-37,2.16261368696391e-37
"LDLR",1.83907192224448e-37,3.03008992903138e-37
"MTHFD2",5.45597962475397e-37,8.97228588481404e-37
"C2orf40",8.10274904779974e-37,1.32995786078686e-36
"SEC11C",8.64212250894526e-37,1.41580226709046e-36
"PMEPA1",1.65090946550269e-36,2.69950224510364e-36
"NR1D1",4.04432734057909e-36,6.6006474520772e-36
"TNNI2",5.64054141283791e-36,9.18845258400149e-36
"TM4SF1",1.05327824873392e-35,1.71256707735873e-35
"GPNMB",1.58697918327566e-35,2.57549154509089e-35
"ITM2A",2.95097776413907e-35,4.78014188385823e-35
"NFKBIZ",6.12260081733684e-35,9.89915833083433e-35
"MTRNR2L1",1.23394275286028e-34,1.99134418138833e-34
"LXN",2.16061212749695e-34,3.4803156243666e-34
"SLPI",3.10062369560102e-34,4.98520352545517e-34
"RASGEF1B",1.4159511795375e-33,2.27235207847855e-33
"TXNIP",2.31625697794458e-33,3.7103005294853e-33
"CXCL1",2.69674306223943e-33,4.31179805700019e-33
"WIF1",3.84825465059569e-33,6.14158721912412e-33
"CTSZ",2.8659834075693e-32,4.56551684631206e-32
"MMP7",8.87947207281054e-31,1.41190134981271e-30
"ACP5",9.20419565745682e-31,1.46084940251379e-30
"H1FX",1.27323851327495e-30,2.01712694868651e-30
"TMEM176A",2.56253711047633e-30,4.05227532095435e-30
"PRPS2",8.69361495021823e-30,1.3722585642224e-29
"CCL20",2.76768506209293e-29,4.36074240202256e-29
"WDR60",3.50452600414813e-29,5.51166362470569e-29
"SFTPA2",1.00730153854978e-28,1.58133544618069e-28
"CETN2",1.55534058872129e-28,2.43726378486216e-28
"HIST1H4C",1.30788619724301e-27,2.04578944053382e-27
"JCHAIN",6.40347546943906e-27,9.99820628351045e-27
"MORN2",9.16945058807258e-27,1.42911256913203e-26
"KLF2",1.43938982358912e-25,2.23933848454063e-25
"SFTPB",2.43306270794065e-25,3.77845465416276e-25
"SMPDL3A",2.69552550924222e-24,4.17854760841312e-24
"SFTPC",3.68541144873391e-24,5.70282809151132e-24
"TMEM176B",4.80248442897201e-24,7.41812326975141e-24
"TNFAIP2",5.2945801351409e-24,8.16365742762366e-24
"BPIFB1",2.6149328349222e-23,4.02476317118809e-23
"TMSB4X",3.26543066828951e-23,5.01704711913042e-23
"CYB5D2",8.13867838959806e-23,1.24821929202169e-22
"VIM",1.11944563807419e-22,1.71384155209589e-22
"EFHC1",2.1197829533998e-22,3.23959762312867e-22
"PLAGL1",4.97231006156452e-22,7.58562293342736e-22
"ZEB2",6.38786468590325e-22,9.72799815722942e-22
"DUSP4",2.04200103632473e-21,3.10427222569577e-21
"RAB11FIP1",2.5937505227914e-21,3.93613017932379e-21
"IFRD1",3.05626908030395e-21,4.62989974511894e-21
"FAM43A",1.11435816313884e-20,1.68517449495646e-20
"EHD1",1.34543646926508e-20,2.03106901555723e-20
"CD24",6.29222540921336e-19,9.48218637451143e-19
"BAMBI",2.92922892195994e-18,4.40657916086147e-18
"ANKRD37",2.97307262879905e-18,4.46477052762357e-18
"PLK2",3.82052469101397e-18,5.72747635654607e-18
"DNALI1",5.15445455013672e-18,7.71384634233264e-18
"ARHGAP15",6.06938441519268e-18,9.06738777053828e-18
"FKBP5",1.36200870708774e-17,2.03127160626016e-17
"IER5L",2.46871922913233e-17,3.67545978175467e-17
"NDRG1",2.85567894319916e-17,4.24426509599188e-17
"S100A2",5.50143555240599e-17,8.16250729473615e-17
"RANBP2",8.94219010275454e-17,1.32448534912375e-16
"HSPH1",1.05526411943006e-16,1.56034780052479e-16
"TXN",1.25292928851092e-16,1.84946046853575e-16
"CRIP1",1.9127440864712e-16,2.81860925859895e-16
"NCOA7",1.95062353722895e-16,2.86953972738613e-16
"CDKN1A",3.37629232028963e-16,4.95839194745421e-16
"CP",3.66786341357885e-16,5.37746076736561e-16
"CNKSR3",5.71015908048336e-16,8.35750863725567e-16
"ISG15",8.13034501426948e-16,1.18796426306471e-15
"BST2",4.31738381600683e-15,6.29770151913306e-15
